prompt,completion
" Lily: Oh, wow. Badgley Mischka! Melissa Sweet! Vera Wang! Oh, Robin, do you have any idea what you guys stumbled onto here?
"," Robin: You said wang.
"
" Lily: Oh, this reminds me of the ticket line to Lilith Fair, 1998. Only fewer mullets.
"," Robin: You should feel good. You're only, like, the tenth craziest bride in New York.
"
" On alarm starts beeping.
"," Robin: That's kind of annoying.
"
" Lily: Well, I'm sure somebody will be out here to turn it off any minute. (5 hours later) I don't think I can take this. Every time it turns off, I think, oh, maybe it won't turn on again, but then it does. Why does it, Robin? Why does it keep turning on?
"," Robin: It's gonna be okay, sweetie. Why... Why don't we make a game out of it, okay? Why don't we sing along?
"
" Lily: If we get through this, I swear I'm gonna live my life differently.
"," Robin: I just want to tell my parents I love them one more time.
"
" Lily: It's him. It's the car guy!
"," Robin: Get out of here!
"
" Marshall: Nobody does it better than you.
"," Robin: Marshall?! Oh, my God! (Marshall falls)
"
" End of flashback. At the airport.
"," Robin: So if Lily hadn't dragged me down to the wedding dress store, we would have made the first flight.
"
" Man: Oh, my God! You're that reporter from Metro News 1.
"," Robin: Yes, yes, I am. I can't believe you recognized me.
"
" Ted: Robin...
"," Robin:  One second, Ted. Um, you know, a lot of people ask me that. The truth is,
"
" Man:  I knew it!
"," Robin: God, it is so nice to meet a fan! And I would be a fan of your work if you could get us two seats on that next flight.
"
" Man: I think it might hurt. This is such a nightmare.
"," Robin: Okay, so we agree? This goes back to Lily wanting to camp out for a wedding dress?
"
" Ted: 1939?! This penny's from 1939! (at the bar with Robin) A 67-year-old penny. Do you realize this penny was minted during World War II?
"," Robin: Oh, so was my grandfather, but that doesn't make him interesting.
"
" Ted: Look, I know a little something about coins, and this baby is worth something to a collector.
"," Robin: No, it's not.
"
" They're on the street.
"," Robin: You're lucky there's still a place that serves anything for a dollar fifty.
"
" Ted: Hey, that's 150 times its original value. Actually, the meal was only $1.49. 1984.
"," Robin: Hey, in 50 years, we can get dinner again.
"
" Ted: How dare you.
"," Robin: Hey, what's going on?
"
" Ted: I don't know. Looks like they're camping out for something.
"," Robin: Yeah, but for what?
"
" Ted: It was me. I started this. If I hadn't picked up that penny, we wouldn't have gone to get hot dogs all the way across town.
"," Robin: And we wouldn't have seen that wedding dress store, Lily wouldn't have wanted to camp out there, and I wouldn't have needed a nap at your apartment the next day.
"
" Ted: Marshall wouldn't have broken his toe. Barney wouldn't have run the marathon. I wouldn't have jumped that turnstile, gotten arrested, had that court date...
"," Robin: And we would have made our flight. I don't think we can go back any further than that unless you know who dropped the penny.
"
" Man: Uh, I'm afraid not. There are no extra seats on the plane. I'm sorry.
"," Robin: All, right, well, thanks for trying.
"
" Ted: I can't believe this. That's it, it's over.
"," Robin: Ted, come on. Your destiny just wasn't to make it to Chicago today. Anyway, if that firm really wants you, they'll reschedule.
"
" Barney: Ted, why are you dating our arch-enemy?! I mean, Wile E. Coyote wasn't trying to sleep with the Roadrunner.
"," Robin: Or maybe he was. Think about it. The way that she bats her eyelashes and shakes her tail feathers in his face? (chuckles) She wants it.
"
" Ted: No, you... (His phone starts beeping) Hold on. (beep) Hello?
"," Robin: For the love of God, will one of you idiots hang up the phone?
"
" Barney: Well, then, you're not going to be able to pay for that trip to Spain that you've been planning. (Barney snickers) Say good-bye to riding around in gondolas, and eating bratwurst and seeing the pyramids.
"," Robin:I don't think you know what Spain is.
"
" Ted from 2030: So Marshall walked in the next morning all ready to quit. But then something weird happened. Suddenly, he didn't hate the paperwork. He didn't hate the coffee. He didn't even hate the dirty jokes. Out of nowhere, Marshall actually liked GNB.
"," Robin: It's graduation goggles.
"
" Marshall: What?
"," Robin:Graduation goggles, like with high school. It's four years of bullies making fun of all the kids with braces, even after the braces come off and they can walk just fine. But then, on graduation day, you suddenly get all misty because you realize you're never going to see those jerks again. I just had graduation goggles with that guy Scooby I dated.
"
" Lily: The guy who was basically a dog?
"," Robin:He was the worst kisser I've ever been with. But the moment I decided to dump him...I suddenly got kind of wistful. (as speaking to a dog): He was a good boy.
"
" Barney: Yeah. I've been there, too. Every time I'm done having s*x with a woman, at first,I never want to see her again. No, that's pretty much it.
"," Robin:The point is, you can't trust graduation goggles. They're just as misleading as beer goggles, bridesmaid goggles, and that's-just-a-bulky, outdated-cell-phone in-his-front-pocket goggles. That one was a bummer.
"
" At the Bar
"," Robin:...so, if the Landmarks Preservation Committee sides with Zoey, your whole project goes down the tubes? You must be furious.
"
" Barney: I'm sorry. Sorry. Something Hershel said at work today.
"," Robin: Hershel?
"
" Barney: That's how I'm gonna use mine.
"," Robin: Why in the world do you care so much whether Marshall works at GNB?
"
" Barney: Care? I don't care. I'm like, whatever. Marshall who? He's stupid. Hershel's way better.
"," Robin:Okay, Barney, is it possible that with everything that's gone on with your dad lately, you might have some unresolved abandonment issues you're transferring onto Marshall?
"
" Barney: Oh, that's cool. No biggie. Another time.
"," Robin: (Robin is standing at the door) Oh, my God!
"
" Barney: How long have you been there?
"," Robin: You don't remember?
"
" [FLASHBACK]
"," Robin: Hey. I was in the neighborhood. I just wanted to check in on you. You seemed, um, you seemed really upset the other day.
"
" Barney: Oh, no, I'm fine.
"," Robin: Okay. Well, um, you want to go grab some lunch?
"
" Barney:Sure. Hey, are you okay if I invite Marshall to join us?
"," Robin: Yeah.
"
" Barney: There's nothing to talk about.
"," Robin: You trashed your office today. I mean, you obviously have some deep feelings you're not confronting. And I think they're about your dad.
"
" Barney: I don't want to talk about it, okay?
"," Robin: Why not?
"
" Barney: Because I don't. And why am I explaining this to you? You're the most secretive person I know. You never tell anybody anything.
"," Robin: I've never... told anyone this before. Um... I was 16. I was awakened around midnight by the sound of my father arguing with his business partner, Andy Grenier. As things grew heated... I watched my father's hand slowly coil around the heavy antique clock on his desk. The sun was just starting to rise over the bramble orchard as we packed the fresh earth down with the flats of our shovels. My dad and I got our stories straight. We walked back to the house in silence and... haven't talked about it since. But sometimes... on a still night... you can still hear that clock, ticking... ticking... (quietly): ticking.
"
" Barney: That's... the most harrowing story I've ever heard. Is it true?
"," Robin: No. But it did get you to drink three scotches, which is why you're ready to spill your guts.
"
" Barney: Fine! The reason I'm upset about Marshall leaving GNB is... is...the meatball sub.
"," Robin: Huh?
"
" Barney:...he quit, Robin, he quit! It's Meatball Sub Day today, which is why I wanted Marshall to come over and have lunch. But no. All that work wasted. (quiet sobbing) You want to make God laugh, tell him your plans, right?
"," Robin: What is wrong with you?
"
" Marshall, Barney, Robin and Ted are in McClaren's.
"," Robin: ""What a nice surprise""? No, a nice surprise would have been a safe falls from 40 stories e crushes them both. You let yourself do?
"
" Ted: We had a friendly discussion and we resumed our respective paths.
"," Robin: You're f*cked up. He f*cked up, right?
"
" Marshall: Well done.
"," Robin: What?
"
" Marshall: It's a very big check.
"," Robin: So big, that when you sit next to on the plane, you wonder if the check would not have had to buy two seats.
"
" Marshall: It's all in the assessment of your enemy. I knew he loved the sausages because he was out of breath just by coming to my car and he had mustard on his holster.
"," Robin: Handling a police officer with your sausage. It's sexy.
"
" Barney: $ 375! And he kept the gift certificate. Emilio and I'll call him tell him to shorten the crotch.
"," Robin: You're wrong about that, man.
"
" Marshall: Are you kidding? Robin is a pretty girl. They have no fines. I bet she was often stopped and has never had.
"," Robin: This is outrageous! And relevant.
"
" Policeman: Permits and... Sweetie. No, do not cry. OK, not fine for you. Drive slower next time, OK?
"," Robin: Thank you.
"
" He gets up and leaves the bar when Ted arrived.
"," Robin: How was your lunch with the rich? It started well.
"
" End flashback
"," Robin: Ted, it looks like this guy asks you to design...
"
" Ted: A deadly house.
"," Robin: That's it. A house of horror.
"
" End flashback
"," Robin: You can not do this house!
"
" Stella: He said it was because of what you said.
"," Robin: You did break Tony and Stella? Really sorry, but I must insist that you topes there.
"
" Ted: Let's talk in the hallway.
"," Robin: I'll wait.
"
" Barney, Marshall and Robin were at the bar.
"," Robin: False. This has never happened.
"
" Barney: When will you understand the difference between my life and a porno is that my life has better lighting.
"," Robin: You're lying.
"
" Marshall: Guys, it's 3:00 in the morning and it reeks in here.
"," Robin: Ted said it was okay.
"
" Marshall: Man, life is gonna be sweet!
"," Robin: Oh my god lily, have you seen this kitchen?
"
" Lily: I know. It's... Isn't it amazing?
"," Robin: What the hell are you doing? You can't buy this place; lily you have a debt of the size of Mount Waddington!
"
" Lily: Waddington?
"," Robin: It's the tallest mountain in Canada. It's like 4000 meters high.
"
" Lily: meters?
"," Robin: Ro, don't let Marshall fall in love with this apartment.
"
" Lily: I know, i know, i know, i know! But what do i tell him?
"," Robin: I-I don't know, tell him, tell him you saw a ghost. Tell him it's haunted.
"
" Lily (to Robin): I know what you're thinking. I should tell Marshall the truth. I've got the whole thing figure out. We'll apply for the loan under Marshall's name, and he'll never need to know. And then in the meantime, i'll slowly work down my debt, right after i furnish the apartment. I saw this amazing leather sofa today.
"," Robin: you should be a reality show.
"
" [The appartment - Ted/Barney/Robin - they come in]
"," Robin: Okay, let me get this straight. You just snuck this girl into some stranger's apartment?
"
" Barney: Works at every time.
"," Robin: Wait. That time that you offered to walk my dogs when i went to visit my dad in Vancouver...
"
" (Ted looks worried)
"," Robin: Wh-what?
"
" Ted: There was a fight here.
"," Robin: What do you mean?
"
" Ted: Whenever Marshall and Lily have a big argument, they always leave a trail of evidence all over the apartment.
"," Robin: Oh, God here we go. He had a detective club as a kid.
"
" Ted: HUm the Mosby boys cracked a lot of big cases.
"," Robin: The Mosby boys? You mean you and your sister.
"
" Ted: We solved the mystery of the missing retainer.
"," Robin: Let me guess, it was in the garbage.
"
" Ted: Why are you like this? Anyway, this is serious. I know Lily and Marshall. All the tell tale signs are here. Like this
"," Robin: A water bott.
"
" Ted: Just as i suspected, Cherry Garcia. Given the liquid consistency, i place the fight between... noon and 1.
"," Robin: Ew, that was on the floor.
"
" Ted: Marshall stood here. Eating and yelling, yelling and eating. Lily stood here. Crying. (Ted takes a handkerchief on the bar of the kitchen)
"," Robin: Hey, Ted!
"
" He had to get out of here, any way he could. He choose the door slamming it behind him.
"," Robin: Which Is why this picture is crooked.
"
" Ted: Now that we need is a motive. The million dollar question what were they fighting about?
"," Robin: I know what they've been fighting...
"
" Ted: Lily left the lid off... (Ted put dark sunglasses) and marshall blew heads.
"," Robin: I know what they were fighting about, and it wasn't peanut butter.
"
" Barney (to Robin): Just...
"," Robin: They were fighting because they didn't get the loan and it's all Lily's fault.
"
" Ted: What?
"," Robin: Yeah, she has a pile of debt the size of mount... Rushmore
"
" Ted: Not Lily and Marshall, no way.
"," Robin: Well, it's been nice knowing you guys.
"
" Ted: What do you mean?
"," Robin: Well, Marshall's gonna get yyou guys, Lily's gonna get me.
"
" Ted: Even if they break up, that doesn't mean we can't all hangout. I mean we broke up and we still hang out. It's not weird.
"," Robin: It's a little weird.
"
" (keys noise)
"," Robin: They're back.
"
" [End flashback]
"," Robin: So you're not getting a divorce?
"
" Barney: Oh, thank God. Cause, i mean, if you did then who'd be the lame married couple i get to make fun of? Like 'Hey Marshall, you're married mrs right, you just didn't know her first name was Always.' That stuff is cold.
"," Robin: So what's the annoucement?
"
" Robin joins Lily at a chiroposdist's place.
"," Robin: We had our first fight.
"
" Chiroposdist's place.
"," Robin: It's this big skyscraper in Spokane. It'd be a huge project for his firm.
"
" Chiropodist's place.
"," Robin: So anyway, the head architect unveils his new design to the whole company.
"
" Lily: So you and Ted had your first fight. It obviously ended well. I mean, you're here with me.
"," Robin: Actually, it didn't end at all. I started getting bummed out, so I came here. It's what I do. When my grandma died, I got a perm.
"
" Lily: Ooh, two tragedies in one day.
"," Robin: The thing is, Ted has been literally complaining about work nonstop for weeks. So, when I came over today, I was kind of done.
"
" Ted: Hey.
"," Robin: Hey.
"
" Ted: How was your day?
"," Robin: Good.
"
" Ted: Wow, you're a great interviewer. Aren't you gonna ask how my day was?
"," Robin: No, I know how it was. It was awful. Ooh, you want to rent a movie tonight?
"
" Ted: You know, um... I listen to your work stories all the time.
"," Robin: Yeah, but... and I don't want to be rude here, but my work stories are interesting. I'm a television news reporter.
"
" Lily: Robin!
"," Robin: What? I knew exactly what he was going to say. I was just helping him get there faster.
"
" Lily: You should work at a suicide hotline.
"," Robin: And then it got ugly.
"
" [FLASHBACK]
"," Robin: What I don't do is tell you the same story over and over again. I mean, you wouldn't watch the same movie over and over again, would you? Maybe a great movie like Die Hard. But Field of Dreams? Once is more than enough.
"
" Ted: So that's your go-to bad movie? The number one example on the tip of your tongue of a bad movie is Field of Dreams?
"," Robin: It's about ghost baseball players. I think it's stupid.
"
" [END OF FLASHBACK]
"," Robin: So, now he's all mad at me about the stupid movie.
"
" Lily: Listening is the foundation of a relationship. And if he's really droning on, you can always practice saying the alphabet backwards. You know, in case you get pulled over for a DUI.
"," Robin: I guess I don't know how to do that.
"
" Lily: Yeah, it's really hard, even when you're sober. That's what I tried to explain to the cop.
"," Robin: No, I mean, I guess I don't know how to do this girlfriend thing. I've never been in a relationship this serious before. I should probably go tell him I'm sorry, shouldn't I? You're trying to do it right now, aren't you?
"
" Later, Robin and Lily arrive at MacLaren's.
"," Robin: Hey, Carl, is Ted still here?
"
" Lily: Thanks.
"," Robin: I wonder where Ted went.
"
" A girl: Ted Mosby, the architect?
"," Robin: Actually, yeah. Oh, he is such a cool guy. He was here earlier.
"
" Lily: He asked her to a party. Oh, my God, are you okay?
"," Robin: Okay? It's awesome. It's a win-win. Ted got to vent and I don't have to hear it. Maybe after he's done with the talkie-talk, he'll come over and I'll get the fun part.
"
" Lily: What is wrong with you? God, I feel like I'm teaching love as a second language here. Okay, you know how when he tells you boring work stories you're supposed to listen? Well, when he picks up some random girl at a bar, you're supposed to freak out.
"," Robin: I'm not freaking out because in my mind, she's fat.
"
" Girl: She's a kickboxing instructor. Her ass looks better than my face.
"," Robin: All right, we'll swing by the party.
"
" At the party.
"," Robin: Damn, these are some drunk almost-lawyers.
"
" Guy 2: Yo, what's up, ladies? Welcome to the party. Yeah! Just need you to sign this release protecting the host from any and all responsibility should you harm yourself or a third party. Then freakin' rage! Yeah!
"," Robin: Hey, drunk legal dude, um... Have you seen Marshall Ericksen? He was with a guy named Ted.
"
" Lily: See? Marshall's still hung up on our breakup. Why? Because I listened to him. It was a strong and nurturing relationship that I threw away like old gum.
"," Robin: Not that I'm worried or anything, but, um, back to the sun rising over Ted and, uh... Oh, what tasteful way did you describe her?
"
" Guy 2: The girl with the smackable ass.
"," Robin: Yes, that's the young lady.
"
" [END OF FLASHBACK]
"," Robin: Yeah, okay. There is no way Ted went dancing. Ted hates clubs.
"
" [END OF FLASHBACK]
"," Robin: Dancing? He went dancing with this girl? Okay, maybe this is a little bad. Dancing is bad. Dancing leads to s*x.
"
" Lily: Did you grow up in that Footloose town?
"," Robin: I'm calling him. I'm telling him that I was wrong and I'm sorry, and I totally want to listen to his stupid stories.
"
" Lily: Yeah, think of another way to phrase that and you'll be fine.
"," Robin: He's not answering. Calling Marshall.
"
" Marshall: Hello.
"," Robin: Marshall, hi, it's Robin. Can I talk to Ted?
"
" Marshall: Oh, Robin, hi. Um, no, Ted's not here tonight. He's, uh... he's working.
"," Robin: Uh, okay. Bye. (She hangs up) Marshall just lied. Ted's cheating on me.
"
" In front of a club.
"," Robin: Excuse me. I'm looking for a couple guys who came in here earlier. One's about six-four, 210, sandy brown hair. And the other's a cheating b*st*rd.
"
" Lily: Then can I have the...? That's cool. You keep that.
"," Robin: So these guys... One of them's an architect.
"
" Bouncer: Ted Mosby, the architect?
"," Robin: That's the one.
"
" [END OF FLASHBACK]
"," Robin: You know this girl. Where does she live?
"
" Lily: Well, I'm out of money.
"," Robin: I'm cashed, too.
"
" Bouncer: I'll take your purse.
"," Robin: My purse?
"
" Bouncer: Yeah, my girl likes clutches.
"," Robin: Okay, fine.
"
" Lily: You should tell her that looks really good with a chocolate boot.
"," Robin: Bitch is lucky I brought my small purse. No room for my gun. Here. Now where does the rodeo slut live?
"
" Lily: Oh, my God, Robin, are you going to kick this girl's ass?
"," Robin: Yeah... And steal her purse.
"
" In a building.
"," Robin: I can't believe he's cheating on me. You know how many times I could have cheated? Six... no seven. And you know two of them, and they would surprise you.
"
" Lily: 3-C, let's do this. You ready?
"," Robin: Should I just kick the door in?
"
" Lily: Those are really nice heels and you already lost the purse. Let's see if it's unlocked. It's unlocked. Okay, get in there and kick some spankable ass. Robin?
"," Robin: I'm the problem.
"
" Lily: What?
"," Robin: You were right. I don't know how to be a girlfriend. I took the nicest guy in the world and I made him a cheater.
"
" Lily: Well, don't stand out here and beat yourself up. Get in there and beat Ted up. I'll handle the slutty kickboxer. Actually, I'll take Ted.
"," Robin: Let's do this.
"
" Lily: Bring it. (They come in)
"," Robin: What do you think you're...? Barney?
"
" Barney (tied up to the bed): Thank God you're here. Can you help with this? I need nails.
"," Robin: Okay, I'm totally lost here. Where's Ted?
"
" Barney: Ted? He's at work.
"," Robin: How did you get here?
"
" Barney: And that led to a couple of hours that I cannot, as a gentleman, divulge to you. We did it right here, and here and here.
"," Robin: But why would you use Ted's name?
"
" Lily: Oh, this is great. It wasn't Ted. Everything's okay.
"," Robin: Everything isn't okay. Look at me. I'm acting crazy and jealous and paranoid.
"
" Lily: This is how people act in relationships.
"," Robin: And that's why I avoid relationships.
"
" Barney: And thus ended this chapter of, ""Let's pour our hearts out in the bedroom of Barney's one-night stand."" Come on, let's go before she gets out of the shower.
"," Robin: You're such a pig. You're not even going to say good-bye?
"
" Ted's office.
"," Robin: Hey.
"
" Ted: Hey. What are you doing here?
"," Robin: I brought donuts. And I don't want to brag, but they're filled with jelly.
"
" Ted: Thanks. So, uh... how was your night?
"," Robin: It was... fine. Nothing exciting. How was yours?
"
" Ted: You really want to hear about boring architect stuff?
"," Robin: Yes, I do. I'm sorry about earlier. To tell you the truth, I never even saw all of Field of Dreams. I fell asleep half way through.
"
" Ted: What? The best part's the last 20 minutes.
"," Robin: Well, maybe they should have moved that part up a little bit earlier, 'cause... You know what, um... What I'm trying to say is... I love being the person you bitch to. So how was your day, Mr. Architect?
"
" Ted: Oh, I like the way you say that. Hey, you want to see the building that will make every man in Spokane feel inadequate?
"," Robin: Obviously. Wow.
"
" Ted: Yes.
"," Robin: You know, you didn't mention all the foliage around the base. If you trim that back, the rest would look bigger.
"
" Ted from 2030: You know that time we went to Spokane and I pointed out that skyscraper? That was the first building I ever designed. And that night was the first time I showed anyone my first drawing of it.
"," Robin: Wow. Ted, this is amazing.
"
" Ted: Thanks. It's not like it will ever come to anything.
"," Robin: I don't know. It might come to something. You know, girls find architects very hot. (They kiss)
"
" Barney: I want to press it!
"," Robin: Guys, I dated you both, and neither of you is good at pressing or even finding the button. After some awkward pawing around, that building's going to fake an implosion, say, ""Baby, that was great"""" and go to sleep.
"
" Both Ted and Barney, at the same time: She means you. I want to press it! I'm gonna press it!
"," Robin: It's just a button, okay? Can we just talk about something else, please?
"
" Ted: Well, I ran into Zoey yesterday.
"," Robin: That's the first time since the breakup. How's she doing?
"
" [END OF FLASHBACK]
"," Robin: You know that ""coffee"" is code for ""I want to get back together"" right?
"
" Lily: He's out printing out a whole new batch of résumés because he misspelled the phrase ""detail-oriented."" And when he gets back home, he is going to find his favorite soup there waiting for him.
"," Robin: Oh, that's sweet, Lil, but didn't you guys get food poisoning here one time?
"
" At the Bar
"," Robin: Hey, Mr. Architect, big day for you tomorrow, huh?
"
" Barney: Yeah. Getting to stand next to me while I press the button. That is going to be legend... wait for it...dary adjacent. Legendary adjacent!
"," Robin: You okay?
"
" Barney: Oh, hey, buddy.
"," Robin: Hey. Everything okay?
"
" Barney: I wonder what end it's coming out of Lily right now.
"," Robin: I bet it's her tushie.
"
" At the Bar
"," Robin: Why would Ted just give up the button like that? And he forgot his phone. ""See you in an hour.""
"
" Barney: Who's that from?
"," Robin: Zoey. They're meeting for coffee. Ted's getting back together with her!
"
" Barney: Why would Ted get back together with Zoey? He's doing great.
"," Robin: After a breakup, we all think we're doing great. Sometimes the tiniest trigger can unravel you and send you crawling right back.
"
" Barney: No, I refuse to believe that Ted is getting back with Zoey because of lightbulbs.
"," Robin: Uh, Ted's gone back for less.
"
" Ted: Robin, you want to get coffee sometime...?
"," Robin: Get it together, bro.
"
" Barney: We've got to stop Ted. Where are they meeting?
"," Robin: Okay, Zoey wrote, ""Meet me at 6:00, where it all began, where you gave me the orchid at the intersection.""
"
" Ted: Amazing first date with Zoey! We met at the intersection... (The rest is unintelligible)
"," Robin: Aw, that's sweet.
"
" Barney: You weren't listening either?
"," Robin: I was in a coma. I mean, who pays attention to that sappy romantic crap?
"
" Lily: Yeah, I wasn't listening, either. Ted really can go on about a bitch.
"," Robin: Great. He could be anywhere. We're flat out of clues.
"
" Ted's voice: Anyway, listen, I was going to get back together with Zoey today, but I came to my senses on the way out here, so... False alarm... Oh, crap. Just stepped in some gum. I'm getting back together with Zoey!
"," Robin: Okay, we're never gonna find him.
"
" Barney: That's the intersection.
"," Robin: That's in Brooklyn. How are we ever gonna get there in time?
"
" In Ranjit's car
"," Robin: I can't believe Ted's getting back together with Zoey.
"
" Barney: I know. They're a total train wreck.
"," Robin: Unmitigated disaster.
"
" Barney: Yeah, almost as bad as us.
"," Robin: We were a mess. Do you remember how awful I looked by the end? My hair was falling out, my skin was gray, my back was hunched.
"
" Barney: What about me? I got so fat, at the end of a date, you'd unhook my bra.
"," Robin: You were the only boyfriend I ever motorboated.
"
" Barney: Thank God we're not sentimental saps who panic and get back together. Seriously, why would people do that?
"," Robin: I guess I get it.
"
" Barney: What do you mean?
"," Robin: Well, no matter how bad things got... Ted really did love Zoey for a minute there. Didn't he?
"
" Barney: Yeah... he did. And... she loved him, too. Didn't she?
"," Robin: Yeah, she did.
"
" At the intersection
"," Robin: Okay, where the hell are they?
"
" Barney: Maybe this isn't the intersection.
"," Robin: Well, maybe it is and we're too late. Man, I wish we'd gone to Brooklyn sooner.
"
" Man: I know, right? Ever since the Trader Joe's opened up, Brooklyn is so... whatever.
"," Robin: Wait. Where'd you get that? (The guy is holding a cup, on which is printed ""The Intersection"")
"
" Barney: She's alone! There's still time! But where the hell is Ted?
"," Robin: Wait a minute. On their first date, he brought her an orchid. How much do you want to bet he's gonna do it again?
"
" Ted: Thanks, Julia! No, on second thought. (Barney and Robin jumps on him, all three fall down)Ooh! Come on. What the hell?!
"," Robin: You can't get back together with Zoey just because you're freaking out over a lightbulb.
"
" Ted: I'm not freaking out over a lightbulb! I'm freaking out over 50,000 lightbulbs! I can't do this! I only got this job because you gave it to me, Barney. I didn't earn it!
"," Robin: Look, Ted, the future is scary. But you can't just run back to the past because it's familiar. Yes, it's tempting.
"
" In the street
"," Robin: I'm proud of you for giving Ted the button. It meant a lot.
"
" I'm coming in!
"," Robin: Dear Marshall, I know this is a strange way to apologize, but I'm sorry I let Carl name your drink after me.
"
" ...with the meatball.
"," Robin: And that's the only time my father ever said he was proud of me.
"
" Look at this one.
"," Robin: Thank you so much.
"
" Ted:... hat cowboy. Listen, I need this job. I have no other option.
"," Robin: You can always do prof.
"
" Marshall: What? We brought you a surprise party, last year.Thou shalt have no surprises on two holidays. The fact that the world has come to the first was surprising. Not? Two surprises on Christmas! It is very strong! It is very strong! Great!(Marshall goes on the roof) Super... It still will not mount.
"," Robin: Come on. This is boring! I knew it was a bad idea.
"
" Barney: Look, Robin... I must tell you something.
"," Robin: Wait. Before that, I must tell you something.
"
" Barney: What is it?
"," Robin: I think I love you.
"
" Flashback
"," Robin: I think I love you.
"
" Barney: Robin, you're great listening. You're really great, but we're friends. This is not a good idea.
"," Robin: You must be right. Have fun.
"
" Barney takes Ted into his arms while Robin is in her room and heard everything.
"," Robin: sh1t.
"
" Lily: He said that? My God! What an incredible surprise!
"," Robin: You know since when?
"
" Lily is 8 months.
"," Robin: And you've said anything since? Bravo.
"
" Marshall: Bravo, Lily. I mean, what a bomb. Who saw this coming?
"," Robin: You know since when?
"
" Marshall: 7 months and 29 days.
"," Robin: I will do what?
"
" Lily: I know. Are you gonna do?
"," Robin: I'll marry Barney in a large church. We'll move to New Hampshire and open cottages.
"
" Marshall: Really?
"," Robin: No! This is Barney. I mean... This is Barney. But it's Barney. I have to say no.
"
" Lily: Boy, you're going to break her... The thing that this black mud pump through his veins.
"," Robin: You're right. For the first time he likes a girl, she pushes him away? And not just any girl. It's going to destroy it.
"
" Marshall: OK, first... Second, there is a trick you can try. It's risky, but it can pay off. Lack of anything better, I'll call it... The Mosby.
"," Robin: The Mosby?
"
" Marshall: It could squarely mosbyser.
"," Robin: What is the Mosby?
"
" Marshall: Do you remember your first time with Ted? You wanted to get on the train Ted, visit his yard.
"," Robin: I was ready to jump the turnstile.
"
" Ted: I think I love you.
"," Robin: What?
"
" Robin: What?
"," Robin: The Mosby! It's great! And... excuse me.
"
" Barney: So... You're in love with me?
"," Robin: What? Yes. Much.
"
" Barney: You can stop. Lily told me everything.
"," Robin: Damn, Lily!
"
